"match_id","match_timestamp","winning_team","losing_team","winning_team_score","losing_team_score","map","region","event","league"
1,"2024-02-16 17:00:00","NRG","FUR",13,10,"Breeze","Americas","Americas Kickoff","VCT"
2,"2024-02-16 17:00:00","NRG","FUR",13,8,"Ascent","Americas","Americas Kickoff","VCT"
3,"2024-02-16 20:00:00","C9","MIBR",13,11,"Bind","Americas","Americas Kickoff","VCT"
4,"2024-02-16 20:00:00","MIBR","C9",13,8,"Split","Americas","Americas Kickoff","VCT"
5,"2024-02-16 20:00:00","C9","MIBR",13,10,"Lotus","Americas","Americas Kickoff","VCT"
6,"2024-02-17 17:00:00","LOUD","SEN",13,11,"Split","Americas","Americas Kickoff","VCT"
7,"2024-02-17 17:00:00","LOUD","SEN",13,9,"Ascent","Americas","Americas Kickoff","VCT"
8,"2024-02-17 19:35:00","LEV","100T",13,9,"Bind","Americas","Americas Kickoff","VCT"
9,"2024-02-17 19:35:00","100T","LEV",13,3,"Split","Americas","Americas Kickoff","VCT"
10,"2024-02-17 19:35:00","LEV","100T",13,11,"Icebox","Americas","Americas Kickoff","VCT"
11,"2024-02-18 17:00:00","KRU","G2",13,9,"Icebox","Americas","Americas Kickoff","VCT"
12,"2024-02-18 17:00:00","G2","KRU",13,9,"Sunset","Americas","Americas Kickoff","VCT"
13,"2024-02-18 17:00:00","G2","KRU",13,11,"Ascent","Americas","Americas Kickoff","VCT"
14,"2024-02-19 17:00:00","MIBR","FUR",13,9,"Split","Americas","Americas Kickoff","VCT"
15,"2024-02-19 17:00:00","MIBR","FUR",13,11,"Breeze","Americas","Americas Kickoff","VCT"
16,"2024-02-19 19:45:00","SEN","100T",13,5,"Lotus","Americas","Americas Kickoff","VCT"
17,"2024-02-19 19:45:00","100T","SEN",13,6,"Bind","Americas","Americas Kickoff","VCT"
18,"2024-02-19 19:45:00","SEN","100T",13,8,"Split","Americas","Americas Kickoff","VCT"
19,"2024-02-23 17:00:00","NRG","C9",13,7,"Sunset","Americas","Americas Kickoff","VCT"
20,"2024-02-23 17:00:00","NRG","C9",14,12,"Ascent","Americas","Americas Kickoff","VCT"
21,"2024-02-23 19:25:00","LEV","LOUD",13,11,"Bind","Americas","Americas Kickoff","VCT"
22,"2024-02-23 19:25:00","LOUD","LEV",13,10,"Split","Americas","Americas Kickoff","VCT"
23,"2024-02-23 19:25:00","LOUD","LEV",13,7,"Ascent","Americas","Americas Kickoff","VCT"
24,"2024-02-24 17:00:00","EG","G2",15,13,"Sunset","Americas","Americas Kickoff","VCT"
25,"2024-02-24 17:00:00","EG","G2",13,11,"Icebox","Americas","Americas Kickoff","VCT"
26,"2024-02-25 15:00:00","MIBR","C9",14,12,"Bind","Americas","Americas Kickoff","VCT"
27,"2024-02-25 15:00:00","MIBR","C9",13,9,"Ascent","Americas","Americas Kickoff","VCT"
28,"2024-02-25 17:40:00","SEN","LEV",13,3,"Split","Americas","Americas Kickoff","VCT"
29,"2024-02-25 17:40:00","LEV","SEN",13,6,"Breeze","Americas","Americas Kickoff","VCT"
30,"2024-02-25 17:40:00","SEN","LEV",13,9,"Bind","Americas","Americas Kickoff","VCT"
31,"2024-02-25 20:55:00","G2","KRU",13,8,"Split","Americas","Americas Kickoff","VCT"
32,"2024-02-25 20:55:00","G2","KRU",13,8,"Sunset","Americas","Americas Kickoff","VCT"
33,"2024-02-26 15:00:00","SEN","MIBR",13,7,"Split","Americas","Americas Kickoff","VCT"
34,"2024-02-26 15:00:00","SEN","MIBR",13,6,"Ascent","Americas","Americas Kickoff","VCT"
35,"2024-02-26 17:10:00","MIBR","G2",13,9,"Sunset","Americas","Americas Kickoff","VCT"
36,"2024-02-26 17:10:00","G2","MIBR",15,13,"Split","Americas","Americas Kickoff","VCT"
37,"2024-02-26 17:10:00","MIBR","G2",13,10,"Breeze","Americas","Americas Kickoff","VCT"
38,"2024-02-26 20:55:00","SEN","G2",13,8,"Sunset","Americas","Americas Kickoff","VCT"
39,"2024-03-02 17:00:00","EG","LOUD",13,7,"Ascent","Americas","Americas Kickoff","VCT"
40,"2024-03-02 17:00:00","LOUD","EG",13,7,"Icebox","Americas","Americas Kickoff","VCT"
41,"2024-03-02 17:00:00","LOUD","EG",13,5,"Sunset","Americas","Americas Kickoff","VCT"
42,"2024-03-02 20:00:00","SEN","NRG",16,14,"Sunset","Americas","Americas Kickoff","VCT"
43,"2024-03-02 20:00:00","NRG","SEN",13,8,"Ascent","Americas","Americas Kickoff","VCT"
44,"2024-03-02 20:00:00","SEN","NRG",13,3,"Split","Americas","Americas Kickoff","VCT"
45,"2024-03-03 17:00:00","SEN","LOUD",13,9,"Sunset","Americas","Americas Kickoff","VCT"
46,"2024-03-03 17:00:00","SEN","LOUD",13,3,"Split","Americas","Americas Kickoff","VCT"
47,"2024-03-03 17:00:00","LOUD","SEN",13,11,"Icebox","Americas","Americas Kickoff","VCT"
48,"2024-03-03 17:00:00","LOUD","SEN",13,8,"Bind","Americas","Americas Kickoff","VCT"
49,"2024-03-03 17:00:00","SEN","LOUD",13,4,"Lotus","Americas","Americas Kickoff","VCT"
50,"2024-02-20 11:00:00","TH","FUT",13,11,"Lotus","EMEA","EMEA Kickoff","VCT"
51,"2024-02-20 11:00:00","TH","FUT",13,10,"Bind","EMEA","EMEA Kickoff","VCT"
52,"2024-02-20 13:25:00","KC","GX",13,11,"Split","EMEA","EMEA Kickoff","VCT"
53,"2024-02-20 13:25:00","GX","KC",13,10,"Sunset","EMEA","EMEA Kickoff","VCT"
54,"2024-02-20 13:25:00","KC","GX",13,4,"Lotus","EMEA","EMEA Kickoff","VCT"
55,"2024-02-21 08:00:00","NAVI","BBL",13,8,"Bind","EMEA","EMEA Kickoff","VCT"
56,"2024-02-21 08:00:00","BBL","NAVI",13,6,"Ascent","EMEA","EMEA Kickoff","VCT"
57,"2024-02-21 08:00:00","NAVI","BBL",13,6,"Breeze","EMEA","EMEA Kickoff","VCT"
58,"2024-02-21 11:00:00","TL","KOI",13,10,"Icebox","EMEA","EMEA Kickoff","VCT"
59,"2024-02-21 11:00:00","TL","KOI",13,11,"Bind","EMEA","EMEA Kickoff","VCT"
60,"2024-02-21 13:45:00","VIT","GM8",13,10,"Sunset","EMEA","EMEA Kickoff","VCT"
61,"2024-02-21 13:45:00","VIT","GM8",13,7,"Lotus","EMEA","EMEA Kickoff","VCT"
62,"2024-02-22 11:00:00","TH","KC",13,4,"Split","EMEA","EMEA Kickoff","VCT"
63,"2024-02-22 11:00:00","TH","KC",13,4,"Lotus","EMEA","EMEA Kickoff","VCT"
